,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - LEME,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
ASTRO SUL POSTO DE COMBUSTIVEIS LTDA,"RODOVIA ANHANGUERA, S/N KM 195",Jardim do Bosque,BRANCA,6190,02/05/2022
AUTO POSTO CRISTAL LEME LTDA,"RUA RAFAEL DE BARROS, 1462",Centro,BRANCA,6298,02/05/2022
AUTO POSTO CRISTAL LEME LTDA,"AVENIDA DR JAMBEIRO COSTA, 1705",Jd Claudia,BRANCA,6298,02/05/2022
AUTO POSTO SANTA RITA LEME - EIRELI,"AVENIDA DOUTOR EURICO ARRAIS SERODIO, 600",Jardim Santa Rita,BRANCA,6390,02/05/2022
AUTO POSTO REDENTOR LTDA,"RODOVIA ANHANGUERA, 4400 KM 193",Distrito Industrial,VIBRA ENERGIA,6398,02/05/2022
POSTO DE SERVICOS PREMIUM LTDA,"RUA LUIZ CANEQUIOLLI, 01",Jd Barra Funda,BRANCA,6490,02/05/2022
ROZINELI & ROZINELI COMERCIO DE COMBUSTIVEL LTDA,"RODOVIA ANHANGUERA, S/N KM 185/186",Serelepe,VIBRA ENERGIA,6578,02/05/2022
ALEXANDRE ROBERTI COMBUSTIVEIS,"AVENIDA 07 DE SETEMBRO, 697",Barra Funda,BRANCA,6580,02/05/2022
AUTO POSTO J & J - EIRELI,"AVENIDA VISCONDE DE NOVA GRANADA, 1017",Parque Residencial Itamaraty,BRANCA,6599,02/05/2022
POSTO DOM PEDRO DE LEME LTDA,"RODOVIA ANHANGUERA KM 184, S/N",Distrito Industrial,IPIRANGA,6600,02/05/2022
AUTO POSTO REAL DE LEME LTDA,"AVENIDA JOAQUIM LOPES AGUILLA, 2155",Centro,BRANCA,6699,02/05/2022
ATLANTIS AUTO POSTO DE SERVICOS LEME LTDA,"AVENIDA BERTA BUHRHEIN, 710",Cidade Jardim,IPIRANGA,6699,02/05/2022
SCUDERIA VR COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA JOAQUIM LOPES AGUILA, 2277",Vila Sao Jorge,BRANCA,6790,02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6508,,,,
DESVIO PADRÃO,181,,,,
VALOR MÍNIMO,6190,,,,
VALOR MÁXIMO,6790,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
