,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - LIMEIRA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
POSTO UNIAO DE LIMEIRA LTDA,"RODOVIA ANHANGUERA (SP 330), S/N KM 134",Jardim Nova Limeira,RAIZEN,6299,03/05/2022
AUTO POSTO BENEDITA DE FREITAS TADEU & CIA LTDA,"VIA DR CASSIO DE FREITAS LEVY, 1800 CHAC SAO PEDRO REMAN",Sao Francisco,RAIZEN,6299,03/05/2022
AUTO POSTO RIVIERA INDEPENDENCIA LTDA,"AVENIDA MAJOR JOSE LEVY SOBRINHO, 1098",Nereide,BRANCA,6299,03/05/2022
AUTO POSTO MARITA LTDA,"VIA ANTONIO CRUANES FILHO, 100",Graminha,BRANCA,6399,03/05/2022
AUTO POSTO PARQUE DOS SABIAS LTDA,"VIA PREFEITO JURANDYR PAIXAO, 200",Itaipu,BRANCA,6399,03/05/2022
AUTO POSTO N.O. LTDA,"AVENIDA MAJOR JOSE LEVY SOBRINHO, 1516",Boa Vista,IPIRANGA,6490,03/05/2022
COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS,"AVENIDA DR HIPOLITO PINTO RIBEIRO, 377 BLOCO 4",Bairro dos Pires,IPIRANGA,6490,03/05/2022
BIG MALTE AUTO POSTO LTDA,"RUA DIOGENES CORREA ARRUDA, 706",Jd Sto Andre,IPIRANGA,6490,03/05/2022
AUTO POSTO BY BRASIL LTDA.,"RUA DONA MARIA THEREZA SILVEIRA BARROS CAMARGO, 1600",Jardim Santo Andre,BRANCA,6498,03/05/2022
POSTO DA FONTE LTDA,"PRACA DOUTOR LUCIANO ESTEVES JUNIOR, 236",Centro,BRANCA,6499,03/05/2022
CENTRO AUTOMOTIVO RIVIERA LIMEIRA LTDA,"RUA EMILIO KUNTZ BUSCH, 620",Anavec,IPIRANGA,6499,03/05/2022
AUTO POSTO ALINGHI LTDA,"RUA TREZE DE MAIO, 687",Centro,IPIRANGA,6499,03/05/2022
AUTO POSTO KLASS LTDA,"AVENIDA EDUARDO PEIXOTO, 545",Jardim Nova Europa,IPIRANGA,6499,03/05/2022
AUTO POSTO PETRÓLEO REAL DE LIMEIRA LTDA.,"RUA MIGUEL AMATO, 201",Jardim Pizza,BRANCA,6499,03/05/2022
AUTO POSTO COLINAS DE SAO JOAO LTDA,"VIA ANTONIO CRUANES FILHO, 4100",Sitio Sao Joao,IPIRANGA,6499,03/05/2022
BLAYA AUTO POSTO LTDA,"VIA LUIZ VARGA, S/N TRECHO 3",Jardim Alvorada,VIBRA ENERGIA,6598,03/05/2022
AUTO POSTO PORTAL DE LIMEIRA LTDA,"RUA MAJOR FRANCISCO BARCELLOS, 778",Jardim Gloria,IPIRANGA,6599,03/05/2022
AUTO POSTO AEROPORTO LIMEIRA LTDA,"RUA CANDIDO SOUZA DE OLIVEIRA, 2765",Jd Sao Manoel,RAIZEN,6699,03/05/2022
AUTO POSTO E RESTAURANTE CASTELO LTDA,"VIA ANHANGUERA, S/N KM 150",Do Ferrao,IPIRANGA,7190,03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6513,,,,
DESVIO PADRÃO,193,,,,
VALOR MÍNIMO,6299,,,,
VALOR MÁXIMO,7190,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
