,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - LORENA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
E GOMES DA SILVA & CIA LTDA,"AVENIDA MARECHAL ARGOLO, 1162",Vila Passos,BRANCA,6250,02/05/2022
AUTO POSTO CONDE LTDA,"AVENIDA TARGINO VILELA NUNES, 474",Vila Nunes,BRANCA,6390,02/05/2022
AUTO POSTO SANTA BRANCA LTDA,"AVENIDA SAO TOMAZ, 430",Vila Hepacare,BRANCA,6399,02/05/2022
SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,"AVENIDA TARGINO VILELLA NUNES, 789",Vila Nunes,BRANCA,6399,02/05/2022
AUTO POSTO MALERBA LTDA,"PRACA PREF. ROZENDO P. LEITE, 7",Centro,RAIZEN,6590,02/05/2022
J. L FIGUEIREDO & FILHOS LTDA,"AVENIDA GODOY NETO, 58",Centro,VIBRA ENERGIA,6599,02/05/2022
AUTO POSTO VIP LORENA EIRELI,"RUA JOAQUIM LUIS BASTOS, 38 CENTRO",Cruz,IPIRANGA,6659,02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6469,,,,
DESVIO PADRÃO,148,,,,
VALOR MÍNIMO,6250,,,,
VALOR MÁXIMO,6659,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
