,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - MAUA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO DIVISA UM II LTDA.,"AVENIDA CAPITAO JOAO, 3804",Matriz,BRANCA,6249,03/05/2022
DTC CENTRO AUTOMOTIVO SOCIEDADE LIMITADA UNIPESSOAL,"AVENIDA BARAO DE MAUA, 1150",Vila America,BRANCA,6399,04/05/2022
REDE EMOCOES DE POSTOS LTDA,"AVENIDA BARAO DE MAUA, 1600",Vila America,BRANCA,6490,04/05/2022
AUTO POSTO PAPAI DE MAUA LTDA,"AVENIDA BARAO DE MAUA, 2711",Jd Maua,RAIZEN,6490,04/05/2022
CENTRO AUTOMOTIVO BAP BARAO LTDA,"AVENIDA BARAO DE MAUA, 2990",Jardim Maringa,RAIZEN,6499,04/05/2022
MIRAGE COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA ANTONIA ROSA FIORAVANTI, 1020",Jardim Rosina,RAIZEN,6590,04/05/2022
POSTO DE SERVICOS CAMPO VERDE LTDA,"AVENIDA BARAO DE MAUA, 2.204",Vila Fausto Neves Morelli,VIBRA ENERGIA,6690,04/05/2022
AUTO POSTO GKAR LTDA,"AVENIDA BARAO DE MAUA, 4410",Jardim Itapeva,RAIZEN,6890,04/05/2022
T8 ENERGIA - POSTO MAUA IV CENTENARIO LTDA,"AVENIDA JOSE MOREIRA, 12",Jardim Quarto Centenario,VIBRA ENERGIA,6890,04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6576,,,,
DESVIO PADRÃO,215,,,,
VALOR MÍNIMO,6249,,,,
VALOR MÁXIMO,6890,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
