,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - MOGI DAS CRUZES,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO IMIGRANTE LTDA,"AVENIDA FERNANDO COSTA, 30",Centro,VIBRA ENERGIA,6379,03/05/2022
POSTO DE SERVICOS LIBERTY LTDA,"AVENIDA PREFEITO FRANCISCO RIBEIRO NOGUEIRA, 4411",Mogi Moderno,VIBRA ENERGIA,6549,03/05/2022
ITAMARATHY AUTO POSTO E ACESSORIOS LTDA,"AVENIDA FRANCISCO RODRIGUES F, 695",Mogilar,BRANCA,6599,03/05/2022
VIP AUTO POSTO DE MOGI LTDA,"AVENIDA PREF. FRANCISCO RIBEIRO NOGUEIRA, 2.991",Mogi Moderno,RAIZEN,6599,03/05/2022
AUTO POSTO CASTILLO LTDA,"AVENIDA FRANCISCO FERREIRA LOPES, 2646",Vila Jundiai,BRANCA,6599,03/05/2022
POSTO BRASIL DE MOGI LTDA,"AVENIDA BRASIL, 46",Mogin Moderno,BRANCA,6599,03/05/2022
AUTO POSTO VIPAM LTDA,"RUA IPIRANGA, 1369",Centro,IPIRANGA,6650,03/05/2022
AUTO POSTO UCHIKAWA E KANO LTDA,"AVENIDA JAPÃO, 120",Vila Vitória,RAIZEN,6690,03/05/2022
POSTO QUALITY CHACARA JAFET LTDA,"AVENIDA HENRIQUE EROLES, 876",Alto do Ipiranga,VIBRA ENERGIA,6699,03/05/2022
AUTO POSTO MOGI BERTIOGA LTDA,"RUA FRANCISCO RIBEIRO NOGUEIRA, 3076 0",Mogi Moderno,BRANCA,6899,03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6626,,,,
DESVIO PADRÃO,131,,,,
VALOR MÍNIMO,6379,,,,
VALOR MÁXIMO,6899,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
