,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - MOGI MIRIM,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO GUAÇU MIRIM LTDA,"RUA PADRE ROQUE, 2348",Centro,TAURUS,6170,05/05/2022
AUTO POSTO EVOLUCAO LTDA,"AVENIDA BRASIL, 44",Centro,RAIZEN,6460,05/05/2022
AUTO POSTO GERLIN LTDA,"AVENIDA PEDRO BOTESI, 798",Tucura,IPIRANGA,6590,05/05/2022
POSTO DE COMBUSTIVEIS JEMAR LTDA,"RODOVIA DEPUTADO NAGIB CHAIB, 2144",Parque do Estado Ii,BRANCA,6690,05/05/2022
AUTO POSTO RECREIO DE MOGI MIRIM EIRELI,"AVENIDA VINTE E DOIS DE OUTUBRO, 1250",Jardim America,VIBRA ENERGIA,6790,05/05/2022
AUTO POSTO PROGRESSO LTDA,"AVENIDA PROF ADIB CHAIB, 3194",Centro,BRANCA,6790,05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6582,,,,
DESVIO PADRÃO,238,,,,
VALOR MÍNIMO,6170,,,,
VALOR MÁXIMO,6790,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
