,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - MONTE ALTO,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
TANIOS & IANNI LTDA,"RUA NHONHO LIVRAMENTO, 1038",Centro,BRANCA,6459,02/05/2022
AUTO POSTO MONTE ALTO LTDA,"AVENIDA COMENDADOR C RIBEIRO, 220",Centro,BRANCA,6459,02/05/2022
AUTO POSTO BELA VISTA MONTE ALTO LTDA.,"AVENIDA COMENDADOR BONFIGLIOLI, 421",Centro,IPIRANGA,6690,02/05/2022
AUTO POSTO PRIMAVERA DO MONTE ALTO LTDA,"RUA NHONHO LIVRAMENTO, 2216",Centro,RAIZEN,6779,02/05/2022
IANNI & LEPORE LTDA.,"AVENIDA PRESIDENTE CASTELO BRANCO, 9",Sao Guilherme,VIBRA ENERGIA,6789,02/05/2022
AUTO POSTO PIGNATTA LTDA,"RUA NHONHO LIVRAMENTO, 2328",Centro,BRANCA,6789,02/05/2022
AUTO POSTO CIDADE SONHO LTDA,"RUA JEREMIAS DE PAULA EDUARDO, 2113",Centro,RAIZEN,6789,02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6679,,,,
DESVIO PADRÃO,154,,,,
VALOR MÍNIMO,6459,,,,
VALOR MÁXIMO,6789,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
