,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - GUARULHOS,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO PRISCILA LTDA,"RUA PRIMEIRO-TENENTE-AVIADOR JOAO MAURICIO CAMPOS MEDE, 200",Vila Herminia,BRANCA,"6,189",02/05/2022
NIKIGAS COMERCIAL LTDA,"RUA PADRE CELESTINO, 426",Jd Santa Francisca,BRANCA,"6,199",02/05/2022
NIKIGAS COMERCIAL LTDA,"AVENIDA GUARULHOS, 4389",Jd Ponte Grande,BRANCA,"6,199",02/05/2022
AUTO POSTO STERFESON LTDA,"AVENIDA GUARULHOS, 4105",Ponte Grande,BRANCA,"6,199",02/05/2022
MAKRO ATACADISTA S.A,"RUA CARLOS LEAL EVANS, 252",Jd. Santa Francisca,IPIRANGA,"6,279",02/05/2022
ARGETAX ADMINISTRACAO E PARTICIPACOES EM EMPREENDIMENTOS COMERCIAIS LTDA,"AVENIDA CARLOS FERREIRA ENDRES, 875 A",V. Endres,RAIZEN,"6,549",02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,269",,,,
DESVIO PADRÃO,"0,141",,,,
VALOR MÍNIMO,"6,189",,,,
VALOR MÁXIMO,"6,549",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
