,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - IBITINGA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO CAPIM FINO LTDA,"AVENIDA ENGENHEIRO IVANIL FRANCISCHINI, 8-40",Centro,BRANCA,"6,289",03/05/2022
TITICO AUTO POSTO LTDA,"IBG - TIAGO SIMÕES, S/N",Sao Joao,BRANCA,"6,289",03/05/2022
AUTO POSTO PAINEIRAS COMÉRCIO DE COMBUSTIVEIS LTDA,"AVENIDA ENG. IVANIL FRANCESCHINI, 8-330",Jardim das Paineiras Ii,BRANCA,"6,3",03/05/2022
CIDACOM MERCANTIL DE COMBUSTIVEIS LTDA,"RUA PRUDENTE DE MORAIS, 345",Centro,BRANCA,"6,69",03/05/2022
MARCO AUTO POSTO DE IBITINGA LTDA,"ACESSO VEREADOR MANOEL ALVES LOPES, S/N KM 1,2",Nações Unidas,BRANCA,"6,99",03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,512",,,,
DESVIO PADRÃO,"0,318",,,,
VALOR MÍNIMO,"6,289",,,,
VALOR MÁXIMO,"6,99",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
