,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ITATIBA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
DALFORNO & DALFORNO LTDA,"AVENIDA MAL CASTELO BRANCO, 43",Engenho,IPIRANGA,"6,249",04/05/2022
POSTO DA MOENDA DE ITATIBA LTDA,"ESTRADA MUN NEMESIO D SANTOS, S/N AREA F9",Moenda,BRANCA,"6,299",04/05/2022
CALOPSYTA COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,"AVENIDA MARECHAL CASTELO BRANCO, 760",Jardim da Luz,BRANCA,"6,319",04/05/2022
CENTRO DE CONV. E POSTO DE COMBUSTÍVEL PARATY LTDA,"RUA LUIZ SCAVONE, 460",Centro,VIBRA ENERGIA,"6,49",04/05/2022
3 IRMAOS MUTTON & CIA LTDA,"RODOVIA DOM PEDRO I, S/N KM 103 VIA NORTE",Da Ponte Nova,RAIZEN,"6,6",04/05/2022
AUTO POSTO 3 IRMAOS DE ITATIBA LTDA,"RODOVIA DOM PEDRO I, S/N KM 101",Da Ponte Nova,VIBRA ENERGIA,"6,6",04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,426",,,,
DESVIO PADRÃO,"0,157",,,,
VALOR MÍNIMO,"6,249",,,,
VALOR MÁXIMO,"6,6",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
