,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - JAU,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
DELTA JAU POSTO DE SERVICOS LTDA,"AVENIDA COMENDADOR ITALO MAZZEI, 30",Jardim Olimpia,VIBRA ENERGIA,"5,999",03/05/2022
AUTO POSTO FREEPETRO DE JAU LTDA.,"RUA JOSE FORNALE, 10",Jardim America,BRANCA,"6,19",03/05/2022
POSTO NOSSO RANCHO LTDA.,"AVENIDA JOAO FRANCESCHI, 3800",Jardim Parati,BRANCA,"6,7",03/05/2022
AUTO POSTO JAHU SHOPPING LTDA,"AVENIDA DOUTOR QUINZINHO, 761",Chacara Peccioli,IPIRANGA,"6,79",03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,42",,,,
DESVIO PADRÃO,"0,385",,,,
VALOR MÍNIMO,"5,999",,,,
VALOR MÁXIMO,"6,79",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
