,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - LEME,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
ASTRO SUL POSTO DE COMBUSTIVEIS LTDA,"RODOVIA ANHANGUERA, S/N KM 195",Jardim do Bosque,BRANCA,"6,02",02/05/2022
AUTO POSTO COMPANHEIRO LTDA.,"AVENIDA VISCONDE DE N GRANADA, 1875",Bonsucesso,BRANCA,"6,09",02/05/2022
AUTO POSTO CRISTAL LEME LTDA,"AVENIDA DR JAMBEIRO COSTA, 1705",Jd Claudia,BRANCA,"6,098",02/05/2022
AUTO POSTO SANTA RITA LEME - EIRELI,"AVENIDA DOUTOR EURICO ARRAIS SERODIO, 600",Jardim Santa Rita,BRANCA,"6,14",02/05/2022
AUTO POSTO REDENTOR LTDA,"RODOVIA ANHANGUERA, 4400 KM 193",Distrito Industrial,VIBRA ENERGIA,"6,148",02/05/2022
ROZINELI & ROZINELI COMERCIO DE COMBUSTIVEL LTDA,"RODOVIA ANHANGUERA, S/N KM 185/186",Serelepe,VIBRA ENERGIA,"6,318",02/05/2022
POSTO DE SERVICOS PREMIUM LTDA,"RUA LUIZ CANEQUIOLLI, 01",Jd Barra Funda,BRANCA,"6,39",02/05/2022
POSTO DOM PEDRO DE LEME LTDA,"RODOVIA ANHANGUERA KM 184, S/N",Distrito Industrial,IPIRANGA,"6,4",02/05/2022
SCUDERIA VR COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA JOAQUIM LOPES AGUILA, 2277",Vila Sao Jorge,BRANCA,"6,49",02/05/2022
AUTO POSTO REAL DE LEME LTDA,"AVENIDA JOAQUIM LOPES AGUILLA, 2155",Centro,BRANCA,"6,499",02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,259",,,,
DESVIO PADRÃO,"0,179",,,,
VALOR MÍNIMO,"6,02",,,,
VALOR MÁXIMO,"6,499",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
