,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - LINS,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO TAKAO LINS LTDA,"RUA JOÃO MOREIRA DA SILVA, 1100",Jardim Americano,BRANCA,"6,34",02/05/2022
AUTO POSTO PERNAMBUCO DE LINS LTDA,"RUA PERNAMBUCO, 450",Vila Sao Jose,BRANCA,"6,45",02/05/2022
POSTO DE SERVICOS BEIRA RIO LTDA,"RUA FLORIANO PEIXOTO, 30",Centro,BRANCA,"6,599",02/05/2022
MONTEIRO AUTO POSTO MAX LTDA,"RUA SANTOS DUMONT, 630",Vila Clelia,BRANCA,"6,649",02/05/2022
AUTO POSTO M & M DE LINS LTDA.,"AVENIDA DA SAUDADE, 524",Ribeiro,BRANCA,"6,699",02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,547",,,,
DESVIO PADRÃO,"0,149",,,,
VALOR MÍNIMO,"6,34",,,,
VALOR MÁXIMO,"6,699",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
