Range,Frequência,Porcentagem,Contagem
"(5.946, 6.089]",16,1.80383314543405,||||||||||||||||
"(6.089, 6.229]",50,5.6369785794814,||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.229, 6.369]",92,10.3720405862458,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.369, 6.509]",215,24.23900789177,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.509, 6.649]",191,21.5332581736189,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.649, 6.79]",132,14.8816234498309,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.79, 6.93]",107,12.0631341600902,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.93, 7.07]",61,6.8771138669673,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(7.07, 7.21]",11,1.24013528748591,|||||||||||
"(7.21, 7.35]",8,0.901916572717024,||||||||
"(7.35, 7.49]",4,0.450958286358512,||||
