Range,Frequência,Porcentagem,Contagem
"(5.997, 6.135]",2,0.347826086956522,||
"(6.135, 6.27]",21,3.65217391304348,|||||||||||||||||||||
"(6.27, 6.406]",80,13.9130434782609,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.406, 6.541]",89,15.4782608695652,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.541, 6.677]",138,24,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.677, 6.812]",126,21.9130434782609,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.812, 6.948]",53,9.21739130434783,|||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.948, 7.083]",46,8,||||||||||||||||||||||||||||||||||||||||||||||
"(7.083, 7.219]",9,1.56521739130435,|||||||||
"(7.219, 7.354]",7,1.21739130434783,|||||||
"(7.354, 7.49]",4,0.695652173913043,||||
