,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - MOGI MIRIM,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO GUAÇU MIRIM LTDA,"RUA PADRE ROQUE, 2348",Centro,TAURUS,"6,07",05/05/2022
AUTO POSTO GERLIN LTDA,"AVENIDA PEDRO BOTESI, 798",Tucura,IPIRANGA,"6,49",05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,28",,,,
DESVIO PADRÃO,"0,297",,,,
VALOR MÍNIMO,"6,07",,,,
VALOR MÁXIMO,"6,49",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
