Posto,Município,Estado,Combustível,BANDEIRA,PREÇO VENDA
1,MIRASSOL,São Paulo,DIESEL,BRANCA,"6,399"
2,MIRASSOL,São Paulo,DIESEL,IPIRANGA,"6,459"
3,MIRASSOL,São Paulo,DIESEL,BRANCA,"6,49"
4,MIRASSOL,São Paulo,DIESEL,VIBRA ENERGIA,"6,499"
5,MIRASSOL,São Paulo,DIESEL,BRANCA,"6,499"
6,MIRASSOL,São Paulo,DIESEL,VIBRA ENERGIA,"6,599"
7,MIRASSOL,São Paulo,DIESEL,ALESAT,"6,599"
1,GUARATINGUETA,São Paulo,DIESEL,BRANCA,"6,39"
2,GUARATINGUETA,São Paulo,DIESEL,BRANCA,"6,69"
3,GUARATINGUETA,São Paulo,DIESEL,BRANCA,"6,69"
1,ITAPEVA,São Paulo,DIESEL,BRANCA,"6,039"
2,ITAPEVA,São Paulo,DIESEL,BRANCA,"6,039"
3,ITAPEVA,São Paulo,DIESEL,TAURUS,"6,099"
4,ITAPEVA,São Paulo,DIESEL,BRANCA,"6,249"
5,ITAPEVA,São Paulo,DIESEL,IPIRANGA,"6,55"
6,ITAPEVA,São Paulo,DIESEL,RAIZEN,"6,89"
7,ITAPEVA,São Paulo,DIESEL,RAIZEN,"6,899"
1,CATANDUVA,São Paulo,DIESEL,BRANCA,"6,299"
2,CATANDUVA,São Paulo,DIESEL,IPIRANGA,"6,299"
3,CATANDUVA,São Paulo,DIESEL,RAIZEN,"6,399"
4,CATANDUVA,São Paulo,DIESEL,VIBRA ENERGIA,"6,399"
5,CATANDUVA,São Paulo,DIESEL,BRANCA,"6,6"
1,FRANCA,São Paulo,DIESEL,BRANCA,"6,299"
2,FRANCA,São Paulo,DIESEL,BRANCA,"6,299"
3,FRANCA,São Paulo,DIESEL,BRANCA,"6,329"
4,FRANCA,São Paulo,DIESEL,VIBRA ENERGIA,"6,395"
5,FRANCA,São Paulo,DIESEL,VIBRA ENERGIA,"6,397"
6,FRANCA,São Paulo,DIESEL,BRANCA,"6,399"
7,FRANCA,São Paulo,DIESEL,IPIRANGA,"6,49"
8,FRANCA,São Paulo,DIESEL,IPIRANGA,"6,499"
9,FRANCA,São Paulo,DIESEL,BRANCA,"6,499"
10,FRANCA,São Paulo,DIESEL,IPIRANGA,"6,499"
1,MONTE ALTO,São Paulo,DIESEL,BRANCA,"6,258"
2,MONTE ALTO,São Paulo,DIESEL,BRANCA,"6,259"
3,MONTE ALTO,São Paulo,DIESEL,RAIZEN,"6,399"
4,MONTE ALTO,São Paulo,DIESEL,BRANCA,"6,419"
5,MONTE ALTO,São Paulo,DIESEL,RAIZEN,"6,489"
6,MONTE ALTO,São Paulo,DIESEL,VIBRA ENERGIA,"6,549"
1,JACAREI,São Paulo,DIESEL,RAIZEN,"5,99"
1,JAU,São Paulo,DIESEL,VIBRA ENERGIA,"5,999"
