Classes,Frequência,Contagem,Porcentagem
"(5.997, 6.138]",2,||,0.58
"(6.138, 6.277]",18,||||||||||||||||||,5.22
"(6.277, 6.416]",66,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,19.13
"(6.416, 6.555]",64,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,18.55
"(6.555, 6.694]",87,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,25.22
"(6.694, 6.834]",55,|||||||||||||||||||||||||||||||||||||||||||||||||||||||,15.94
"(6.834, 6.973]",30,||||||||||||||||||||||||||||||,8.70
"(6.973, 7.112]",21,|||||||||||||||||||||,6.09
"(7.112, 7.251]",1,|,0.29
"(7.251, 7.39]",1,|,0.29
