Classes,Frequência,Contagem,Porcentagem
"(5.997, 6.148]",5,|||||,0.88
"(6.148, 6.297]",29,|||||||||||||||||||||||||||||,5.12
"(6.297, 6.446]",71,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,12.54
"(6.446, 6.595]",146,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,25.80
"(6.595, 6.744]",140,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,24.73
"(6.744, 6.894]",80,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,14.13
"(6.894, 7.043]",74,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,13.07
"(7.043, 7.192]",8,||||||||,1.41
"(7.192, 7.341]",9,|||||||||,1.59
"(7.341, 7.49]",4,||||,0.71
