,Frequência,Porcentagem,Contagem
"(6.555, 6.694]",88,24.858757062146893,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.277, 6.416]",68,19.2090395480226,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.416, 6.555]",64,18.07909604519774,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.694, 6.834]",58,16.38418079096045,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.834, 6.973]",33,9.322033898305085,|||||||||||||||||||||||||||||||||
"(6.973, 7.112]",21,5.932203389830509,|||||||||||||||||||||
"(6.138, 6.277]",18,5.084745762711865,||||||||||||||||||
"(5.997, 6.138]",2,0.5649717514124294,||
"(7.112, 7.251]",1,0.2824858757062147,|
"(7.251, 7.39]",1,0.2824858757062147,|
