Classes,Frequência,Contagem,Porcentagem
"(6.446, 6.595]",134,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,25.09
"(6.595, 6.744]",131,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,24.53
"(6.744, 6.894]",78,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,14.61
"(6.297, 6.446]",71,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,13.30
"(6.894, 7.043]",70,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,13.11
"(6.148, 6.297]",29,|||||||||||||||||||||||||||||,5.43
"(7.192, 7.341]",7,|||||||,1.31
"(7.043, 7.192]",6,||||||,1.12
"(5.997, 6.148]",4,||||,0.75
"(7.341, 7.49]",4,||||,0.75
