,Frequência,Porcentagem,Contagem
"(6.446, 6.595]",134,25.572519083969464,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.595, 6.744]",128,24.427480916030532,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.744, 6.894]",74,14.122137404580155,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.894, 7.043]",70,13.358778625954198,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.297, 6.446]",69,13.16793893129771,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.148, 6.297]",28,5.343511450381679,||||||||||||||||||||||||||||
"(7.192, 7.341]",7,1.3358778625954197,|||||||
"(7.043, 7.192]",6,1.1450381679389312,||||||
"(5.997, 6.148]",4,0.7633587786259541,||||
"(7.341, 7.49]",4,0.7633587786259541,||||
