POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
1,MIRASSOL,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
2,MIRASSOL,SÃO PAULO,DIESEL,NACIONAL,6.4590000000000005,INTERIOR
3,MIRASSOL,SÃO PAULO,DIESEL,OUTRO,6.49,INTERIOR
4,MIRASSOL,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
5,MIRASSOL,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
6,MIRASSOL,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
7,MIRASSOL,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
1,GUARATINGUETA,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
2,GUARATINGUETA,SÃO PAULO,DIESEL,OUTRO,6.69,INTERIOR
3,GUARATINGUETA,SÃO PAULO,DIESEL,OUTRO,6.69,INTERIOR
1,ITAPEVA,SÃO PAULO,DIESEL,OUTRO,6.039,INTERIOR
2,ITAPEVA,SÃO PAULO,DIESEL,OUTRO,6.039,INTERIOR
3,ITAPEVA,SÃO PAULO,DIESEL,NACIONAL,6.099,INTERIOR
4,ITAPEVA,SÃO PAULO,DIESEL,OUTRO,6.2490000000000006,INTERIOR
5,ITAPEVA,SÃO PAULO,DIESEL,NACIONAL,6.55,INTERIOR
6,ITAPEVA,SÃO PAULO,DIESEL,OUTRO,6.89,INTERIOR
7,ITAPEVA,SÃO PAULO,DIESEL,OUTRO,6.899000000000001,INTERIOR
1,CATANDUVA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
2,CATANDUVA,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
3,CATANDUVA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
4,CATANDUVA,SÃO PAULO,DIESEL,NACIONAL,6.399000000000001,INTERIOR
5,CATANDUVA,SÃO PAULO,DIESEL,OUTRO,6.6,INTERIOR
1,FRANCA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
2,FRANCA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
3,FRANCA,SÃO PAULO,DIESEL,OUTRO,6.329000000000001,INTERIOR
4,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.395,INTERIOR
5,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.397,INTERIOR
6,FRANCA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
7,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.49,INTERIOR
8,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
9,FRANCA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
10,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
1,MONTE ALTO,SÃO PAULO,DIESEL,OUTRO,6.258000000000001,INTERIOR
2,MONTE ALTO,SÃO PAULO,DIESEL,OUTRO,6.259000000000001,INTERIOR
3,MONTE ALTO,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
4,MONTE ALTO,SÃO PAULO,DIESEL,OUTRO,6.4190000000000005,INTERIOR
5,MONTE ALTO,SÃO PAULO,DIESEL,OUTRO,6.489000000000001,INTERIOR
6,MONTE ALTO,SÃO PAULO,DIESEL,NACIONAL,6.549000000000001,INTERIOR
1,JACAREI,SÃO PAULO,DIESEL,OUTRO,5.99,INTERIOR
1,JAU,SÃO PAULO,DIESEL,NACIONAL,5.999,INTERIOR
2,JAU,SÃO PAULO,DIESEL,OUTRO,6.19,INTERIOR
3,JAU,SÃO PAULO,DIESEL,OUTRO,6.7,INTERIOR
4,JAU,SÃO PAULO,DIESEL,NACIONAL,6.79,INTERIOR
1,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.27,INTERIOR
2,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.397,INTERIOR
3,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
4,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
5,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.559000000000001,INTERIOR
6,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.569000000000001,INTERIOR
7,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
8,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.63,INTERIOR
9,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.64,INTERIOR
10,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.97,INTERIOR
11,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.99,INTERIOR
1,BARRETOS,SÃO PAULO,DIESEL,OUTRO,6.19,INTERIOR
2,BARRETOS,SÃO PAULO,DIESEL,NACIONAL,6.75,INTERIOR
3,BARRETOS,SÃO PAULO,DIESEL,NACIONAL,6.78,INTERIOR
4,BARRETOS,SÃO PAULO,DIESEL,OUTRO,6.79,INTERIOR
5,BARRETOS,SÃO PAULO,DIESEL,OUTRO,6.89,INTERIOR
6,BARRETOS,SÃO PAULO,DIESEL,NACIONAL,7.099000000000001,INTERIOR
7,BARRETOS,SÃO PAULO,DIESEL,OUTRO,7.159000000000001,INTERIOR
8,BARRETOS,SÃO PAULO,DIESEL,NACIONAL,7.229000000000001,INTERIOR
1,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,6.29,INTERIOR
2,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,6.298000000000001,INTERIOR
3,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
4,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
5,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
6,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,6.39,INTERIOR
7,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
8,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
9,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
10,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,6.429000000000001,INTERIOR
11,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
12,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,7.0,INTERIOR
1,ITAPETININGA,SÃO PAULO,DIESEL,OUTRO,6.2,INTERIOR
2,ITAPETININGA,SÃO PAULO,DIESEL,NACIONAL,6.779000000000001,INTERIOR
3,ITAPETININGA,SÃO PAULO,DIESEL,NACIONAL,6.9590000000000005,INTERIOR
4,ITAPETININGA,SÃO PAULO,DIESEL,NACIONAL,6.99,INTERIOR
5,ITAPETININGA,SÃO PAULO,DIESEL,NACIONAL,6.9990000000000006,INTERIOR
1,CUBATAO,SÃO PAULO,DIESEL,OUTRO,6.949000000000001,INTERIOR
2,CUBATAO,SÃO PAULO,DIESEL,NACIONAL,6.986000000000001,INTERIOR
3,CUBATAO,SÃO PAULO,DIESEL,NACIONAL,6.9990000000000006,INTERIOR
1,JALES,SÃO PAULO,DIESEL,OUTRO,6.7490000000000006,INTERIOR
2,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
3,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
4,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
5,JALES,SÃO PAULO,DIESEL,NACIONAL,6.759000000000001,INTERIOR
6,JALES,SÃO PAULO,DIESEL,OUTRO,6.759000000000001,INTERIOR
