,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
1,2,MIRASSOL,SÃO PAULO,DIESEL,NACIONAL,6.4590000000000005,INTERIOR
3,4,MIRASSOL,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
5,6,MIRASSOL,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
6,7,MIRASSOL,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
12,3,ITAPEVA,SÃO PAULO,DIESEL,NACIONAL,6.099,INTERIOR
14,5,ITAPEVA,SÃO PAULO,DIESEL,NACIONAL,6.55,INTERIOR
18,2,CATANDUVA,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
20,4,CATANDUVA,SÃO PAULO,DIESEL,NACIONAL,6.399000000000001,INTERIOR
25,4,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.395,INTERIOR
26,5,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.397,INTERIOR
28,7,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.49,INTERIOR
29,8,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
31,10,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
37,6,MONTE ALTO,SÃO PAULO,DIESEL,NACIONAL,6.549000000000001,INTERIOR
39,1,JAU,SÃO PAULO,DIESEL,NACIONAL,5.999,INTERIOR
42,4,JAU,SÃO PAULO,DIESEL,NACIONAL,6.79,INTERIOR
43,1,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.27,INTERIOR
48,6,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.569000000000001,INTERIOR
50,8,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.63,INTERIOR
51,9,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.64,INTERIOR
52,10,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.97,INTERIOR
