,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
0,1,MIRASSOL,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
1,2,MIRASSOL,SÃO PAULO,DIESEL,NACIONAL,6.4590000000000005,INTERIOR
2,3,MIRASSOL,SÃO PAULO,DIESEL,OUTRO,6.49,INTERIOR
3,4,MIRASSOL,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
4,5,MIRASSOL,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
5,6,MIRASSOL,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
6,7,MIRASSOL,SÃO PAULO,DIESEL,NACIONAL,6.599000000000001,INTERIOR
7,1,GUARATINGUETA,SÃO PAULO,DIESEL,OUTRO,6.39,INTERIOR
8,2,GUARATINGUETA,SÃO PAULO,DIESEL,OUTRO,6.69,INTERIOR
9,3,GUARATINGUETA,SÃO PAULO,DIESEL,OUTRO,6.69,INTERIOR
10,1,ITAPEVA,SÃO PAULO,DIESEL,OUTRO,6.039,INTERIOR
11,2,ITAPEVA,SÃO PAULO,DIESEL,OUTRO,6.039,INTERIOR
12,3,ITAPEVA,SÃO PAULO,DIESEL,NACIONAL,6.099,INTERIOR
13,4,ITAPEVA,SÃO PAULO,DIESEL,OUTRO,6.2490000000000006,INTERIOR
14,5,ITAPEVA,SÃO PAULO,DIESEL,NACIONAL,6.55,INTERIOR
15,6,ITAPEVA,SÃO PAULO,DIESEL,OUTRO,6.89,INTERIOR
16,7,ITAPEVA,SÃO PAULO,DIESEL,OUTRO,6.899000000000001,INTERIOR
17,1,CATANDUVA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
18,2,CATANDUVA,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
19,3,CATANDUVA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
20,4,CATANDUVA,SÃO PAULO,DIESEL,NACIONAL,6.399000000000001,INTERIOR
21,5,CATANDUVA,SÃO PAULO,DIESEL,OUTRO,6.6,INTERIOR
22,1,FRANCA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
23,2,FRANCA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
24,3,FRANCA,SÃO PAULO,DIESEL,OUTRO,6.329000000000001,INTERIOR
25,4,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.395,INTERIOR
26,5,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.397,INTERIOR
27,6,FRANCA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
28,7,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.49,INTERIOR
29,8,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
30,9,FRANCA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
31,10,FRANCA,SÃO PAULO,DIESEL,NACIONAL,6.4990000000000006,INTERIOR
32,1,MONTE ALTO,SÃO PAULO,DIESEL,OUTRO,6.258000000000001,INTERIOR
33,2,MONTE ALTO,SÃO PAULO,DIESEL,OUTRO,6.259000000000001,INTERIOR
34,3,MONTE ALTO,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
35,4,MONTE ALTO,SÃO PAULO,DIESEL,OUTRO,6.4190000000000005,INTERIOR
36,5,MONTE ALTO,SÃO PAULO,DIESEL,OUTRO,6.489000000000001,INTERIOR
37,6,MONTE ALTO,SÃO PAULO,DIESEL,NACIONAL,6.549000000000001,INTERIOR
38,1,JACAREI,SÃO PAULO,DIESEL,OUTRO,5.99,INTERIOR
39,1,JAU,SÃO PAULO,DIESEL,NACIONAL,5.999,INTERIOR
40,2,JAU,SÃO PAULO,DIESEL,OUTRO,6.19,INTERIOR
41,3,JAU,SÃO PAULO,DIESEL,OUTRO,6.7,INTERIOR
42,4,JAU,SÃO PAULO,DIESEL,NACIONAL,6.79,INTERIOR
43,1,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.27,INTERIOR
44,2,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.397,INTERIOR
45,3,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
46,4,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.4990000000000006,INTERIOR
47,5,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.559000000000001,INTERIOR
48,6,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.569000000000001,INTERIOR
49,7,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.599000000000001,INTERIOR
50,8,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.63,INTERIOR
51,9,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.64,INTERIOR
52,10,ARACATUBA,SÃO PAULO,DIESEL,NACIONAL,6.97,INTERIOR
53,11,ARACATUBA,SÃO PAULO,DIESEL,OUTRO,6.99,INTERIOR
54,1,BARRETOS,SÃO PAULO,DIESEL,OUTRO,6.19,INTERIOR
55,2,BARRETOS,SÃO PAULO,DIESEL,NACIONAL,6.75,INTERIOR
56,3,BARRETOS,SÃO PAULO,DIESEL,NACIONAL,6.78,INTERIOR
57,4,BARRETOS,SÃO PAULO,DIESEL,OUTRO,6.79,INTERIOR
58,5,BARRETOS,SÃO PAULO,DIESEL,OUTRO,6.89,INTERIOR
59,6,BARRETOS,SÃO PAULO,DIESEL,NACIONAL,7.099000000000001,INTERIOR
60,7,BARRETOS,SÃO PAULO,DIESEL,OUTRO,7.159000000000001,INTERIOR
61,8,BARRETOS,SÃO PAULO,DIESEL,NACIONAL,7.229000000000001,INTERIOR
62,1,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,6.29,INTERIOR
63,2,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,6.298000000000001,INTERIOR
64,3,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
65,4,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.299000000000001,INTERIOR
66,5,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,6.299000000000001,INTERIOR
67,6,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,6.39,INTERIOR
68,7,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
69,8,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
70,9,LIMEIRA,SÃO PAULO,DIESEL,OUTRO,6.399000000000001,INTERIOR
71,10,LIMEIRA,SÃO PAULO,DIESEL,NACIONAL,6.429000000000001,INTERIOR
