POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
1,MIRASSOL,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
2,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
3,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
4,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.559000000000001,INTERIOR
5,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
6,MIRASSOL,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
7,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
8,MIRASSOL,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
9,MIRASSOL,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,INTERIOR
1,GUARATINGUETA,SÃO PAULO,DIESEL S10,NACIONAL,6.49,INTERIOR
2,GUARATINGUETA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
3,GUARATINGUETA,SÃO PAULO,DIESEL S10,NACIONAL,6.6,INTERIOR
4,GUARATINGUETA,SÃO PAULO,DIESEL S10,OUTRO,6.84,INTERIOR
5,GUARATINGUETA,SÃO PAULO,DIESEL S10,OUTRO,6.84,INTERIOR
1,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.138999999999999,INTERIOR
2,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.138999999999999,INTERIOR
3,ITAPEVA,SÃO PAULO,DIESEL S10,NACIONAL,6.199000000000001,INTERIOR
4,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.349000000000001,INTERIOR
5,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
6,ITAPEVA,SÃO PAULO,DIESEL S10,NACIONAL,6.73,INTERIOR
7,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.99,INTERIOR
8,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
1,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
2,CATANDUVA,SÃO PAULO,DIESEL S10,NACIONAL,6.488,INTERIOR
3,CATANDUVA,SÃO PAULO,DIESEL S10,NACIONAL,6.49,INTERIOR
4,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
5,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
6,CATANDUVA,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
7,CATANDUVA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
