,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
0,1,MIRASSOL,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
1,2,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
2,3,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
3,4,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.559000000000001,INTERIOR
4,5,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
5,6,MIRASSOL,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
6,7,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
7,8,MIRASSOL,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
8,9,MIRASSOL,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,INTERIOR
9,1,GUARATINGUETA,SÃO PAULO,DIESEL S10,NACIONAL,6.49,INTERIOR
10,2,GUARATINGUETA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
11,3,GUARATINGUETA,SÃO PAULO,DIESEL S10,NACIONAL,6.6,INTERIOR
12,4,GUARATINGUETA,SÃO PAULO,DIESEL S10,OUTRO,6.84,INTERIOR
13,5,GUARATINGUETA,SÃO PAULO,DIESEL S10,OUTRO,6.84,INTERIOR
14,1,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.138999999999999,INTERIOR
15,2,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.138999999999999,INTERIOR
16,3,ITAPEVA,SÃO PAULO,DIESEL S10,NACIONAL,6.199000000000001,INTERIOR
17,4,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.349000000000001,INTERIOR
18,5,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
19,6,ITAPEVA,SÃO PAULO,DIESEL S10,NACIONAL,6.73,INTERIOR
20,7,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.99,INTERIOR
21,8,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
22,1,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
23,2,CATANDUVA,SÃO PAULO,DIESEL S10,NACIONAL,6.488,INTERIOR
24,3,CATANDUVA,SÃO PAULO,DIESEL S10,NACIONAL,6.49,INTERIOR
25,4,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
26,5,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
27,6,CATANDUVA,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
28,7,CATANDUVA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
29,8,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
30,9,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.7,INTERIOR
31,10,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
32,11,CATANDUVA,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,INTERIOR
33,1,FRANCA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
34,2,FRANCA,SÃO PAULO,DIESEL S10,OUTRO,6.45,INTERIOR
35,3,FRANCA,SÃO PAULO,DIESEL S10,NACIONAL,6.47,INTERIOR
36,4,FRANCA,SÃO PAULO,DIESEL S10,NACIONAL,6.49,INTERIOR
37,5,FRANCA,SÃO PAULO,DIESEL S10,NACIONAL,6.495,INTERIOR
38,6,FRANCA,SÃO PAULO,DIESEL S10,NACIONAL,6.497000000000001,INTERIOR
39,7,FRANCA,SÃO PAULO,DIESEL S10,OUTRO,6.497000000000001,INTERIOR
40,8,FRANCA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
41,9,FRANCA,SÃO PAULO,DIESEL S10,OUTRO,6.529000000000001,INTERIOR
42,10,FRANCA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
43,11,FRANCA,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
44,12,FRANCA,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
45,13,FRANCA,SÃO PAULO,DIESEL S10,OUTRO,6.593000000000001,INTERIOR
46,14,FRANCA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
47,15,FRANCA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
48,16,FRANCA,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
49,17,FRANCA,SÃO PAULO,DIESEL S10,NACIONAL,6.655,INTERIOR
50,18,FRANCA,SÃO PAULO,DIESEL S10,OUTRO,6.7490000000000006,INTERIOR
51,1,MONTE ALTO,SÃO PAULO,DIESEL S10,OUTRO,6.4590000000000005,INTERIOR
52,2,MONTE ALTO,SÃO PAULO,DIESEL S10,OUTRO,6.4590000000000005,INTERIOR
53,3,MONTE ALTO,SÃO PAULO,DIESEL S10,NACIONAL,6.69,INTERIOR
54,4,MONTE ALTO,SÃO PAULO,DIESEL S10,OUTRO,6.779000000000001,INTERIOR
55,5,MONTE ALTO,SÃO PAULO,DIESEL S10,NACIONAL,6.789000000000001,INTERIOR
56,6,MONTE ALTO,SÃO PAULO,DIESEL S10,OUTRO,6.789000000000001,INTERIOR
57,7,MONTE ALTO,SÃO PAULO,DIESEL S10,OUTRO,6.789000000000001,INTERIOR
58,1,JACAREI,SÃO PAULO,DIESEL S10,OUTRO,6.19,INTERIOR
59,2,JACAREI,SÃO PAULO,DIESEL S10,OUTRO,6.29,INTERIOR
60,3,JACAREI,SÃO PAULO,DIESEL S10,OUTRO,6.29,INTERIOR
61,4,JACAREI,SÃO PAULO,DIESEL S10,OUTRO,6.4,INTERIOR
62,1,JAU,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
63,2,JAU,SÃO PAULO,DIESEL S10,OUTRO,6.8,INTERIOR
64,1,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.52,INTERIOR
65,2,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
66,3,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
67,4,ARACATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.64,INTERIOR
68,5,ARACATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.69,INTERIOR
69,6,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
70,7,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.7,INTERIOR
71,8,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
72,9,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
73,10,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,INTERIOR
74,11,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,INTERIOR
75,12,ARACATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
76,13,ARACATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
77,14,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.99,INTERIOR
78,15,ARACATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.99,INTERIOR
79,16,ARACATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
80,17,ARACATUBA,SÃO PAULO,DIESEL S10,OUTRO,7.39,INTERIOR
81,1,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,6.35,INTERIOR
82,2,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,6.39,INTERIOR
83,3,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
84,4,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
85,5,BARRETOS,SÃO PAULO,DIESEL S10,NACIONAL,6.685,INTERIOR
86,6,BARRETOS,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
87,7,BARRETOS,SÃO PAULO,DIESEL S10,NACIONAL,6.89,INTERIOR
88,8,BARRETOS,SÃO PAULO,DIESEL S10,NACIONAL,6.93,INTERIOR
89,9,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,6.99,INTERIOR
90,10,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,6.99,INTERIOR
91,11,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,6.99,INTERIOR
92,12,BARRETOS,SÃO PAULO,DIESEL S10,NACIONAL,7.15,INTERIOR
93,13,BARRETOS,SÃO PAULO,DIESEL S10,OUTRO,7.199000000000001,INTERIOR
94,14,BARRETOS,SÃO PAULO,DIESEL S10,NACIONAL,7.199000000000001,INTERIOR
95,15,BARRETOS,SÃO PAULO,DIESEL S10,NACIONAL,7.299000000000001,INTERIOR
96,1,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
97,2,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
98,3,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
99,4,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
100,5,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
101,6,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.49,INTERIOR
102,7,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.49,INTERIOR
103,8,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.49,INTERIOR
104,9,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.498000000000001,INTERIOR
105,10,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
106,11,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
107,12,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
108,13,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
109,14,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
110,15,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,INTERIOR
111,16,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.598000000000001,INTERIOR
112,17,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
113,18,LIMEIRA,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
114,19,LIMEIRA,SÃO PAULO,DIESEL S10,NACIONAL,7.19,INTERIOR
115,1,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.239000000000001,INTERIOR
116,2,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.2490000000000006,INTERIOR
117,3,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.299000000000001,INTERIOR
118,4,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.4,INTERIOR
119,5,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
120,6,ITAPETININGA,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
121,7,ITAPETININGA,SÃO PAULO,DIESEL S10,NACIONAL,6.979000000000001,INTERIOR
122,8,ITAPETININGA,SÃO PAULO,DIESEL S10,NACIONAL,7.099000000000001,INTERIOR
123,9,ITAPETININGA,SÃO PAULO,DIESEL S10,NACIONAL,7.29,INTERIOR
124,10,ITAPETININGA,SÃO PAULO,DIESEL S10,NACIONAL,7.299000000000001,INTERIOR
125,1,CUBATAO,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,INTERIOR
126,2,CUBATAO,SÃO PAULO,DIESEL S10,NACIONAL,6.997000000000001,INTERIOR
127,3,CUBATAO,SÃO PAULO,DIESEL S10,NACIONAL,6.998000000000001,INTERIOR
128,4,CUBATAO,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
129,5,CUBATAO,SÃO PAULO,DIESEL S10,NACIONAL,7.049000000000001,INTERIOR
130,6,CUBATAO,SÃO PAULO,DIESEL S10,NACIONAL,7.1,INTERIOR
131,1,INTANHAEM,SÃO PAULO,DIESEL S10,NACIONAL,6.99,INTERIOR
132,2,INTANHAEM,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
133,3,INTANHAEM,SÃO PAULO,DIESEL S10,NACIONAL,7.39,INTERIOR
134,4,INTANHAEM,SÃO PAULO,DIESEL S10,NACIONAL,7.46,INTERIOR
135,1,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.94,INTERIOR
136,2,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
137,3,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
138,4,JALES,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
139,5,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
140,6,JALES,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
141,7,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
142,8,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
143,9,JALES,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
144,1,ATIBAIA,SÃO PAULO,DIESEL S10,OUTRO,6.19,INTERIOR
145,2,ATIBAIA,SÃO PAULO,DIESEL S10,OUTRO,6.5,INTERIOR
146,3,ATIBAIA,SÃO PAULO,DIESEL S10,OUTRO,6.67,INTERIOR
147,4,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,INTERIOR
148,5,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
149,6,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,6.8,INTERIOR
150,7,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,6.817,INTERIOR
151,8,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,6.897,INTERIOR
152,9,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,6.99,INTERIOR
153,10,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,6.9990000000000006,INTERIOR
154,11,ATIBAIA,SÃO PAULO,DIESEL S10,NACIONAL,7.23,INTERIOR
155,1,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.25,INTERIOR
156,2,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.39,INTERIOR
157,3,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
158,4,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
159,5,LORENA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
160,6,LORENA,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
161,7,LORENA,SÃO PAULO,DIESEL S10,NACIONAL,6.659000000000001,INTERIOR
171,1,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
172,2,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.579000000000001,INTERIOR
173,3,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
174,4,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.739000000000001,INTERIOR
175,5,ITATIBA,SÃO PAULO,DIESEL S10,NACIONAL,6.79,INTERIOR
176,6,ITATIBA,SÃO PAULO,DIESEL S10,OUTRO,6.9,INTERIOR
177,7,ITATIBA,SÃO PAULO,DIESEL S10,NACIONAL,6.9,INTERIOR
178,1,COSMOPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
179,2,COSMOPOLIS,SÃO PAULO,DIESEL S10,NACIONAL,6.49,INTERIOR
180,3,COSMOPOLIS,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,INTERIOR
181,4,COSMOPOLIS,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
182,1,INDAIATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.24,INTERIOR
183,2,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.289000000000001,INTERIOR
184,3,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
185,4,INDAIATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
186,5,INDAIATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.59,INTERIOR
187,6,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
188,7,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.597,INTERIOR
189,8,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
190,9,INDAIATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.69,INTERIOR
191,10,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.697,INTERIOR
192,11,INDAIATUBA,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
193,12,INDAIATUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.729000000000001,INTERIOR
194,1,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
195,2,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.49,INTERIOR
196,3,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
197,4,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.597,INTERIOR
198,5,ARARAQUARA,SÃO PAULO,DIESEL S10,OUTRO,6.63,INTERIOR
199,6,ARARAQUARA,SÃO PAULO,DIESEL S10,NACIONAL,6.69,INTERIOR
