,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
162,1,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.2490000000000006,METRÓPOLE
163,2,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,METRÓPOLE
164,3,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.49,METRÓPOLE
165,4,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.49,METRÓPOLE
166,5,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,METRÓPOLE
167,6,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.59,METRÓPOLE
168,7,MAUA,SÃO PAULO,DIESEL S10,NACIONAL,6.69,METRÓPOLE
169,8,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.89,METRÓPOLE
170,9,MAUA,SÃO PAULO,DIESEL S10,NACIONAL,6.89,METRÓPOLE
421,1,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,METRÓPOLE
422,2,BARUERI,SÃO PAULO,DIESEL S10,OUTRO,6.54,METRÓPOLE
423,3,BARUERI,SÃO PAULO,DIESEL S10,OUTRO,6.549000000000001,METRÓPOLE
424,4,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,METRÓPOLE
425,5,BARUERI,SÃO PAULO,DIESEL S10,OUTRO,6.69,METRÓPOLE
426,6,BARUERI,SÃO PAULO,DIESEL S10,OUTRO,6.77,METRÓPOLE
427,7,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,METRÓPOLE
428,8,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,METRÓPOLE
429,9,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.89,METRÓPOLE
430,10,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,METRÓPOLE
431,11,BARUERI,SÃO PAULO,DIESEL S10,OUTRO,6.99,METRÓPOLE
432,12,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.99,METRÓPOLE
433,13,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,7.19,METRÓPOLE
434,14,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,7.19,METRÓPOLE
435,15,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,7.29,METRÓPOLE
436,16,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,7.29,METRÓPOLE
464,1,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,OUTRO,6.099,METRÓPOLE
465,2,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.497000000000001,METRÓPOLE
466,3,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,METRÓPOLE
467,4,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,METRÓPOLE
468,5,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,OUTRO,6.58,METRÓPOLE
469,6,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.597,METRÓPOLE
470,7,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.597,METRÓPOLE
480,1,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,NACIONAL,6.379000000000001,METRÓPOLE
481,2,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,NACIONAL,6.549000000000001,METRÓPOLE
482,3,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,METRÓPOLE
483,4,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,METRÓPOLE
484,5,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,METRÓPOLE
485,6,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,METRÓPOLE
486,7,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,NACIONAL,6.65,METRÓPOLE
487,8,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,OUTRO,6.69,METRÓPOLE
488,9,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,METRÓPOLE
489,10,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,METRÓPOLE
