,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
1,2,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
2,3,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
3,4,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.559000000000001,INTERIOR
4,5,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
6,7,MIRASSOL,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,INTERIOR
10,2,GUARATINGUETA,SÃO PAULO,DIESEL S10,OUTRO,6.59,INTERIOR
12,4,GUARATINGUETA,SÃO PAULO,DIESEL S10,OUTRO,6.84,INTERIOR
13,5,GUARATINGUETA,SÃO PAULO,DIESEL S10,OUTRO,6.84,INTERIOR
14,1,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.138999999999999,INTERIOR
15,2,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.138999999999999,INTERIOR
17,4,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.349000000000001,INTERIOR
18,5,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
20,7,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.99,INTERIOR
21,8,ITAPEVA,SÃO PAULO,DIESEL S10,OUTRO,6.9990000000000006,INTERIOR
22,1,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
25,4,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
26,5,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,INTERIOR
29,8,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.699000000000001,INTERIOR
30,9,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.7,INTERIOR
31,10,CATANDUVA,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,INTERIOR
33,1,FRANCA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,INTERIOR
