,POSTO,MUNICÍPIO,ESTADO,COMBUSTÍVEL,BANDEIRA,PREÇO VENDA,REGIÃO
162,1,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.2490000000000006,METRÓPOLE
163,2,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.399000000000001,METRÓPOLE
164,3,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.49,METRÓPOLE
165,4,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.49,METRÓPOLE
166,5,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,METRÓPOLE
167,6,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.59,METRÓPOLE
168,7,MAUA,SÃO PAULO,DIESEL S10,NACIONAL,6.69,METRÓPOLE
169,8,MAUA,SÃO PAULO,DIESEL S10,OUTRO,6.89,METRÓPOLE
170,9,MAUA,SÃO PAULO,DIESEL S10,NACIONAL,6.89,METRÓPOLE
431,1,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,METRÓPOLE
432,2,BARUERI,SÃO PAULO,DIESEL S10,OUTRO,6.54,METRÓPOLE
433,3,BARUERI,SÃO PAULO,DIESEL S10,OUTRO,6.549000000000001,METRÓPOLE
434,4,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.599000000000001,METRÓPOLE
435,5,BARUERI,SÃO PAULO,DIESEL S10,OUTRO,6.69,METRÓPOLE
436,6,BARUERI,SÃO PAULO,DIESEL S10,OUTRO,6.77,METRÓPOLE
437,7,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,METRÓPOLE
438,8,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.799000000000001,METRÓPOLE
439,9,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.89,METRÓPOLE
440,10,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.899000000000001,METRÓPOLE
441,11,BARUERI,SÃO PAULO,DIESEL S10,OUTRO,6.99,METRÓPOLE
442,12,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,6.99,METRÓPOLE
443,13,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,7.19,METRÓPOLE
444,14,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,7.19,METRÓPOLE
445,15,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,7.29,METRÓPOLE
446,16,BARUERI,SÃO PAULO,DIESEL S10,NACIONAL,7.29,METRÓPOLE
474,1,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,OUTRO,6.099,METRÓPOLE
475,2,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.497000000000001,METRÓPOLE
476,3,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,OUTRO,6.4990000000000006,METRÓPOLE
477,4,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.4990000000000006,METRÓPOLE
478,5,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,OUTRO,6.58,METRÓPOLE
479,6,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.597,METRÓPOLE
480,7,ITAQUAQUECETUBA,SÃO PAULO,DIESEL S10,NACIONAL,6.597,METRÓPOLE
490,1,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,NACIONAL,6.379000000000001,METRÓPOLE
491,2,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,NACIONAL,6.549000000000001,METRÓPOLE
492,3,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,METRÓPOLE
493,4,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,METRÓPOLE
494,5,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,METRÓPOLE
495,6,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,OUTRO,6.599000000000001,METRÓPOLE
496,7,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,NACIONAL,6.65,METRÓPOLE
497,8,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,OUTRO,6.69,METRÓPOLE
498,9,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,NACIONAL,6.699000000000001,METRÓPOLE
499,10,MOGI DAS CRUZES,SÃO PAULO,DIESEL S10,OUTRO,6.899000000000001,METRÓPOLE
